Название;Пол;Цвет;Цена;Размер;Бренд;Иерархия
Спортивные классические брюки Adidas;ж;Серый;7000;XL;Adidas;Спортивная одежда,Спортивные брюки,Спортивные классические брюки
Брюки Corneliani;м;Голубой;12200;XL;Corneliani;Деловая одежда,Брюки
Спортивные классические брюки Nike;м;Синий;5900;XXL;Nike;Спортивная одежда,Спортивные брюки,Спортивные классические брюки
Пиджак Briony;ж;Синий;10600;L;Briony;Деловая одежда,Пиджаки
Джинсы Levi's;м;Серый;15800;XL;Levi's;Повседневная одежда,Джинсы
Шорты Levi's;м;Голубой;2400;L;Levi's;Повседневная одежда,Шорты
Тайцы Reebok;м;Серый;4300;XXL;Reebok;Спортивная одежда,Спортивные брюки,Тайцы
Толстовка Zara;м;Черный;2400;L;Zara;Повседневная одежда,Свитеры и кофты,Толстовки
Рубашка с коротким рукавом Hugo Boss;м;Серый;3500;S;Hugo Boss;Деловая одежда,Рубашки,Рубашки с коротким рукавом
Спортивные классические брюки Reebok;ж;Белый;6300;L;Reebok;Спортивная одежда,Спортивные брюки,Спортивные классические брюки
Брюки Briony;ж;Красный;12900;XXL;Briony;Деловая одежда,Брюки
Спортивные шорты Reebok;ж;Черный;3600;XL;Reebok;Спортивная одежда,Спортивные шорты
Спортивная футболка Puma;м;Белый;2600;XL;Puma;Спортивная одежда,Спортивные футболки
Спортивная толстовка Adidas;ж;Серый;5400;M;Adidas;Спортивная одежда,Спортивные толстовки
Свитшот H&M;ж;Красный;2000;M;H&M;Повседневная одежда,Свитеры и кофты,Свитшоты
Спортивная толстовка Puma;ж;Серый;4700;XL;Puma;Спортивная одежда,Спортивные толстовки
Спортивные классические брюки Puma;м;Красный;4500;XXL;Puma;Спортивная одежда,Спортивные брюки,Спортивные классические брюки
Толстовка Levi's;м;Розовый;2000;M;Levi's;Повседневная одежда,Свитеры и кофты,Толстовки
Худи Zara;м;Серый;2800;XL;Zara;Повседневная одежда,Свитеры и кофты,Худи
Шорты H&M;ж;Синий;3400;L;H&M;Повседневная одежда,Шорты
Спортивные шорты Adidas;ж;Черный;4600;XXL;Adidas;Спортивная одежда,Спортивные шорты
Рубашка с длинным рукавом Hugo Boss;м;Голубой;4100;S;Hugo Boss;Деловая одежда,Рубашки,Рубашки с длинным рукавом
